company,job,place,exp,salary,combined
"Diasimos Private Limited                        
Actively hiring",International Business Development Executive,Ahmedabad,0 year(s),"₹ 2,16,000 - 2,40,000","international business development executive diasimos private limited                        
actively hiring ahmedabad"
"Zigsaw Consultancy                        
Actively hiring",Sales Executive– IN Division,Jaipur,1 year(s),"₹ 2,00,000","sales executive– in division zigsaw consultancy                        
actively hiring jaipur"
"Dreamfoot                        
Actively hiring",Business Development Executive,Vadodara,0 year(s),"₹ 2,50,000 - 3,60,000","business development executive dreamfoot                        
actively hiring vadodara"
"PROVEN PATH CONSULTANCY                        
Actively hiring",Corporate Sales Executive,Gurgaon,1 year(s),"₹ 2,00,000 - 3,00,000","corporate sales executive proven path consultancy                        
actively hiring gurgaon"
"ProCURE HR Services Private Limited                        
Actively hiring",Associate Electrical Engineer,Bhuj,0 year(s),"₹ 2,00,000 - 2,50,000","associate electrical engineer procure hr services private limited                        
actively hiring bhuj"
"TheCoinRepublic                        
Actively hiring",Business Development Executive,Bhopal,1 year(s),"₹ 6,00,000 - 8,00,000","business development executive thecoinrepublic                        
actively hiring bhopal"
"Idea Usher                        
Actively hiring",Video Model,"Chandigarh, Mohali",1 year(s),"₹ 3,00,000 - 5,00,000","video model idea usher                        
actively hiring chandigarh, mohali"
"Zigsaw Consultancy                        
Actively hiring",E-commerce Executive,Jaipur,1 year(s),"₹ 2,40,000","e-commerce executive zigsaw consultancy                        
actively hiring jaipur"
"PAN India Group                        
Actively hiring",Digital Marketing Executive,Gurgaon,1 year(s),"₹ 2,00,000 - 3,00,000","digital marketing executive pan india group                        
actively hiring gurgaon"
"Visible Gain                        
Actively hiring",Junior Graphic Designer,Noida,1 year(s),"₹ 2,00,000 - 2,30,000","junior graphic designer visible gain                        
actively hiring noida"
"QuadB Tech                        
Actively hiring",Partnership Manager,Ludhiana,0 year(s),"₹ 2,00,000 - 3,00,000","partnership manager quadb tech                        
actively hiring ludhiana"
"Intelisync                        
Actively hiring",Business Development Associate,Pune,1 year(s),"₹ 2,00,000 - 2,20,000","business development associate intelisync                        
actively hiring pune"
"Moretasks Business Solution Limited                        
Actively hiring",SEO Executive,Gurgaon,1 year(s),"₹ 3,00,000 - 4,00,000","seo executive moretasks business solution limited                        
actively hiring gurgaon"
"Visible Gain                        
Actively hiring",Junior Business Development Executive,Noida,1 year(s),"₹ 2,00,000 - 2,50,000","junior business development executive visible gain                        
actively hiring noida"
"Adisri Publications Private Limited                        
Actively hiring",Field Sales Executive,"Faridabad, Delhi, Gurgaon, Greater Noida, Noida",1 year(s),"₹ 2,00,000 - 2,40,000","field sales executive adisri publications private limited                        
actively hiring faridabad, delhi, gurgaon, greater noida, noida"
"Visible Gain                        
Actively hiring",Associate Content Writer,Noida,1 year(s),"₹ 2,00,000 - 2,50,000","associate content writer visible gain                        
actively hiring noida"
"100kmph                        
Actively hiring",Corporate Sales Executive,Pune,1 year(s),"₹ 2,40,000 - 3,50,000","corporate sales executive 100kmph                        
actively hiring pune"
