company,job,place,exp,salary,combined
Creatalogue,Furniture Project Manager,Delhi                                                    (Hybrid),1 year(s),"₹ 2,00,000 - 2,40,000",furniture project manager creatalogue delhi                                                    (hybrid)
Blue Horse Pictures,Associate Graphic Designer,Delhi,1 year(s),"₹ 2,00,000",associate graphic designer blue horse pictures delhi
Santosh Investments,Administration Executive,"Pune, Pimpri-Chinchwad, Akurdi",1 year(s),"₹ 2,00,000 - 3,00,000","administration executive santosh investments pune, pimpri-chinchwad, akurdi"
Capitalus 360 Innovations Pvt Limited,Corporate Sales Specialist,Delhi,1 year(s),"₹ 2,00,000 - 2,40,000",corporate sales specialist capitalus 360 innovations pvt limited delhi
Web Technoedge Solutions Private Limited,Business Development Executive,Delhi,1 year(s),"₹ 2,40,000 - 8,00,000",business development executive web technoedge solutions private limited delhi
EasyFix,Client Servicing Executive,Gurgaon,1 year(s),"₹ 2,50,000 - 3,50,000",client servicing executive easyfix gurgaon
UniConverge Technologies Private Limited,Education Counselor,Noida,1 year(s),"₹ 2,00,000 - 2,40,000",education counselor uniconverge technologies private limited noida
Concretio Apps Private Limited,Junior Social Media Marketing Associate,"Gurgaon, Jaipur",1 year(s),"₹ 2,00,000 - 3,00,000","junior social media marketing associate concretio apps private limited gurgaon, jaipur"
Rank Global Services Pvt. Ltd,Assessment Officer- Trainee,Delhi,0 year(s),"₹ 2,50,000 - 3,00,000",assessment officer- trainee rank global services pvt. ltd delhi
"DeepThought Edutech Ventures Private Limited                        
Actively hiring",Literature And Aesthetics Researcher Associate,Work from home,0 year(s),"₹ 2,40,000 - 3,00,000","literature and aesthetics researcher associate deepthought edutech ventures private limited                        
actively hiring work from home"
"NestAway Technologies Private Limited                        
Actively hiring",Customer Service Executive,Bangalore,0 year(s),"₹ 2,00,000 - 2,40,000","customer service executive nestaway technologies private limited                        
actively hiring bangalore"
"Robust Tech Solutions                        
Actively hiring",Back-End Management Executive,Work from home,0 year(s),"₹ 4,00,000 - 7,00,000","back-end management executive robust tech solutions                        
actively hiring work from home"
SkyHigh,Digital Marketing Specialist,Ahmedabad,1 year(s),"₹ 2,00,000 - 2,00,001",digital marketing specialist skyhigh ahmedabad
"Supreme Securities Limited                        
Actively hiring",Inside Sales Associate,Work from home,1 year(s),"₹ 3,00,000 - 4,00,000","inside sales associate supreme securities limited                        
actively hiring work from home"
PVR Limited,Customer Service Associate,Chennai,0 year(s),"₹ 2,00,000 - 2,84,064",customer service associate pvr limited chennai
Surgio Brands Private Limited,Fabric Sourcer,Delhi,1 year(s),"₹ 2,00,000 - 3,00,000",fabric sourcer surgio brands private limited delhi
Blueprint Events & Exhibition,Business Development Executive,Noida,0 year(s),"₹ 2,00,000 - 4,20,000",business development executive blueprint events & exhibition noida
Aggarwal Travel Associates Private Limited,Travel Executive,"Navi Mumbai, Vashi Navi Mumbai",1 year(s),"₹ 2,40,000 - 3,60,000","travel executive aggarwal travel associates private limited navi mumbai, vashi navi mumbai"
Anurag Architectural Associates Private Limited,Associate Architect,Varanasi,1 year(s),"₹ 2,00,000 - 3,00,000",associate architect anurag architectural associates private limited varanasi
TalentHome Solutions LLP,Human Resources (HR) Executive,Mumbai,0 year(s),"₹ 2,00,000",human resources (hr) executive talenthome solutions llp mumbai
Jijo Helmets & Pro Gears,Counter Sales Executive,Chennai,0 year(s),"₹ 2,00,000",counter sales executive jijo helmets & pro gears chennai
"Mint Global                        
Actively hiring",Sales Coordinator,Work from home,1 year(s),"₹ 2,00,000 - 2,40,000","sales coordinator mint global                        
actively hiring work from home"
SenseHR,Mechanical Engineer,Mumbai,0 year(s),"₹ 2,50,000 - 3,00,000",mechanical engineer sensehr mumbai
Antarch Studio,Junior Interior Designer,Bangalore,1 year(s),"₹ 2,00,000 - 3,00,000",junior interior designer antarch studio bangalore
Firstman Management Services Private Limited,Customer Service Associate,Bangalore,1 year(s),"₹ 2,00,000 - 2,20,000",customer service associate firstman management services private limited bangalore
Ministry Of Corporate Affairs,Administration Associate,Chennai,0 year(s),"₹ 2,20,000 - 2,25,000",administration associate ministry of corporate affairs chennai
The Agency Source,Night Data Entry Executive,Delhi,0 year(s),"₹ 2,00,000 - 2,10,000",night data entry executive the agency source delhi
The Agency Source,Night Data Collection Executive,Delhi,0 year(s),"₹ 2,00,000 - 2,10,000",night data collection executive the agency source delhi
"Robust Tech Solutions                        
Actively hiring",Back End Executive,Work from home,0 year(s),"₹ 4,00,000 - 7,00,000","back end executive robust tech solutions                        
actively hiring work from home"
The Agency Source,Data Entry Clerk (Night),Delhi,0 year(s),"₹ 2,10,000 - 2,10,001",data entry clerk (night) the agency source delhi
Brand Whiz,Digital Marketing Executive,Thane,1 year(s),"₹ 2,50,000 - 3,00,000",digital marketing executive brand whiz thane
BETCO FURNITURE,Desgining Using Auocad Software,Delhi,1 year(s),"₹ 2,00,000 - 2,50,000",desgining using auocad software betco furniture delhi
Investor Home Solutions Private Limited,Junior Social Media Marketing Manager,Gurgaon,1 year(s),"₹ 3,00,000 - 4,20,000",junior social media marketing manager investor home solutions private limited gurgaon
S,Digital Marketing Associate,Delhi,1 year(s),"₹ 2,00,000 - 2,40,000",digital marketing associate s delhi
"Goodera                        
Actively hiring",Program Associate,Bangalore,1 year(s),"₹ 6,00,000 - 7,00,000","program associate goodera                        
actively hiring bangalore"
Tribeca Developers,Site Admin,Pune,1 year(s),"₹ 8,00,000 - 10,00,000",site admin tribeca developers pune
Last Search,Business Development Executive,Mumbai                                                    (Hybrid),1 year(s),"₹ 2,00,000 - 3,60,000",business development executive last search mumbai                                                    (hybrid)
"Robust Tech Solutions                        
Actively hiring",Back Office CO-Ordinator,Work from home,0 year(s),"₹ 4,00,000 - 7,00,000","back office co-ordinator robust tech solutions                        
actively hiring work from home"
HNP TOURISM LLP,Operation Executive,"Delhi, Noida",0 year(s),"₹ 2,00,000 - 5,00,000","operation executive hnp tourism llp delhi, noida"
Abhishek  Kumar,Senior Video Editor,Gurgaon,1 year(s),"₹ 2,00,000 - 5,00,000",senior video editor abhishek  kumar gurgaon
Dreams Travel & Tours,Junior Travel & Tourism Associate,Noida,1 year(s),"₹ 2,00,000 - 2,50,000",junior travel & tourism associate dreams travel & tours noida
Shankar  Mata,Junior Social Media Marketing Executive,Bhopal                                                    (Hybrid),1 year(s),"₹ 2,00,000 - 2,50,000",junior social media marketing executive shankar  mata bhopal                                                    (hybrid)
SpiceSymphony Private Limited,Data Entry And Visualisation,Work from home,0 year(s),"₹ 10,00,000 - 20,00,000",data entry and visualisation spicesymphony private limited work from home
Monica Sukhija,Corporate Sales Associate,Delhi                                                    (Hybrid),0 year(s),"₹ 2,00,000",corporate sales associate monica sukhija delhi                                                    (hybrid)
Aaditva Foods Private Limited,Regional Sales Manager,Bangalore,1 year(s),"₹ 6,00,000 - 8,00,000",regional sales manager aaditva foods private limited bangalore
"PlanetSpark                        
Actively hiring",English Teacher- Work From Home (Urgent Hiring),Work from home,1 year(s),"₹ 4,50,000 - 6,00,000","english teacher- work from home (urgent hiring) planetspark                        
actively hiring work from home"
Progression Infonet Private Limited,Digital Marketing Specialist,Gurgaon,1 year(s),"₹ 2,00,000 - 3,00,000",digital marketing specialist progression infonet private limited gurgaon
LaanTek Solutions Private Limited,Service Engineer-Trainee,Bangalore,0 year(s),"₹ 2,00,000 - 2,50,000",service engineer-trainee laantek solutions private limited bangalore
"AI Certs                        
Actively hiring",Video Developer,Work from home,1 year(s),"₹ 2,00,000 - 2,25,000","video developer ai certs                        
actively hiring work from home"
Rapro,Customer Acquisition Associate,Bangalore,1 year(s),"₹ 2,40,000 - 3,00,000",customer acquisition associate rapro bangalore
"Stratify Consultants                        
Actively hiring",Behavioral Therapist,"Thane, Dombivli, Kalyan, Mumbai, Bhiwandi",0 year(s),"₹ 2,00,000 - 2,10,000","behavioral therapist stratify consultants                        
actively hiring thane, dombivli, kalyan, mumbai, bhiwandi"
"AI Certs                        
Actively hiring",E- Learning Video Reviewer,Work from home,1 year(s),"₹ 2,00,000 - 2,10,000","e- learning video reviewer ai certs                        
actively hiring work from home"
Akshar Herbs And Spices Enterprise LLC,Junior Search Engine Optimization (SEO) Executive,Ahmedabad,0 year(s),"₹ 2,00,000",junior search engine optimization (seo) executive akshar herbs and spices enterprise llc ahmedabad
The Agency Source,Lead Research Specialist,Delhi,0 year(s),"₹ 2,75,000",lead research specialist the agency source delhi
Apps N Devices,Operation Executive,Dehradun,0 year(s),"₹ 2,00,000",operation executive apps n devices dehradun
Apps N Devices,Technical Executive,Dehradun,0 year(s),"₹ 2,00,000",technical executive apps n devices dehradun
DYNA Filters Pvt Ltd,Sales Engineer,Work from home,0 year(s),"₹ 3,00,000 - 4,00,000",sales engineer dyna filters pvt ltd work from home
ORU Pools,Associate Video Editor,Udaipur,1 year(s),"₹ 2,00,000 - 10,00,000",associate video editor oru pools udaipur
KNP Arises Green Energy Private Limited,Business Development Associate,Gurgaon,1 year(s),"₹ 10,00,000 - 15,00,000",business development associate knp arises green energy private limited gurgaon
Paddlelift Private Limited,Telecaller,Gurgaon,1 year(s),"₹ 2,00,000 - 3,00,000",telecaller paddlelift private limited gurgaon
"Systemic Altruism                        
Actively hiring",Robotics- Mechanical Engineer,Work from home,0 year(s),"₹ 6,00,000 - 12,00,000","robotics- mechanical engineer systemic altruism                        
actively hiring work from home"
